id,web_id,longitude,latitude,location,complete_response
29,1616,13.36775,52.4598598,"17, Alboinplatz, Schöneberg, Tempelhof-Schöneberg, Berlin, 12105, Deutschland","17, Alboinplatz, Schöneberg, Tempelhof-Schöneberg, Berlin, 12105, Deutschland"
33,1481,13.32515980165417,52.4558102,"123, Albrechtstraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland","123, Albrechtstraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland"
35,1442,13.3210263,52.4568547,"Albrechtstraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland","Albrechtstraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland"
44,1470,13.3442281,52.4461777,"65, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland","65, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland"
46,828,13.3408838,52.4479232,"76, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland","76, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland"
47,1455,13.3332446,52.4523342,"Albrechtstraße, Steglitz, Berlin, 12167, Deutschland","Albrechtstraße, Steglitz, Berlin, 12167, Deutschland"
49,1468,13.3379149,52.449881,"83, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland","83, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland"
50,1620,13.3332683,52.4524711,"95, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland","95, Albrechtstraße, Steglitz, Berlin, 12167, Deutschland"
52,1388,13.2985516,52.6038751,"83, Allmendeweg, Tegel, Reinickendorf, 13509, Deutschland","83, Allmendeweg, Tegel, Reinickendorf, 13509, Deutschland"
54,1739,13.4399925,52.4491009,"49, Alt-Britz, Britz, Neukölln, 12359, Deutschland","49, Alt-Britz, Britz, Neukölln, 12359, Deutschland"
55,1740,13.436521,52.4458788,"91, Alt-Britz, Britz, Neukölln, 12359, Deutschland","91, Alt-Britz, Britz, Neukölln, 12359, Deutschland"
56,1737,13.4360395,52.4453196,"97, Alt-Britz, Britz, Neukölln, 12359, Deutschland","97, Alt-Britz, Britz, Neukölln, 12359, Deutschland"
57,1738,13.435912,52.4451759,"99, Alt-Britz, Britz, Neukölln, 12359, Deutschland","99, Alt-Britz, Britz, Neukölln, 12359, Deutschland"
59,1212,13.3620601,52.4365082,"82, Alt-Lankwitz, Lankwitz, Berlin, 12247, Deutschland","82, Alt-Lankwitz, Lankwitz, Berlin, 12247, Deutschland"
61,1234,13.3642977,52.4361904,"94, Alt-Lankwitz, Lankwitz, Berlin, 12247, Deutschland","94, Alt-Lankwitz, Lankwitz, Berlin, 12247, Deutschland"
62,1294,13.3580936,52.6207816,"12, Alt-Lübars, Lübars, Reinickendorf, 13469, Deutschland","12, Alt-Lübars, Lübars, Reinickendorf, 13469, Deutschland"
64,886,13.344391,52.524904,"92, Alt-Moabit, Moabit, Mitte, 10559, Deutschland","92, Alt-Moabit, Moabit, Mitte, 10559, Deutschland"
66,1626,13.3422105,52.4593977,"26, Altmarkstraße, Steglitz, Berlin, 12169, Deutschland","26, Altmarkstraße, Steglitz, Berlin, 12169, Deutschland"
68,107,13.3621755,52.4958983,"25, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland","25, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland"
69,1508,13.3618364,52.4959405,"26, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland","26, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland"
70,1507,13.3623778,52.495613,"4, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland","4, Alvenslebenstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland"
71,1875,13.5134066,52.5617703,"Am Breiten Luch, Neu-Hohenschönhausen, Lichtenberg, 13053, Deutschland","Am Breiten Luch, Neu-Hohenschönhausen, Lichtenberg, 13053, Deutschland"
74,1622,13.3354605,52.4456716,"Am Eichgarten, Steglitz, Berlin, 12167, Deutschland","Am Eichgarten, Steglitz, Berlin, 12167, Deutschland"
98,1486,13.314596830256546,52.4433048,"2, Augustastraße, Lichterfelde, Steglitz-Zehlendorf, 12203, Deutschland","2, Augustastraße, Lichterfelde, Steglitz-Zehlendorf, 12203, Deutschland"
99,1487,13.31343650443943,52.44281985000001,"35, Augustastraße, Lichterfelde, Steglitz-Zehlendorf, 12203, Deutschland","35, Augustastraße, Lichterfelde, Steglitz-Zehlendorf, 12203, Deutschland"
100,1512,13.288887021024577,52.4775792,"55, Auguste-Viktoria-Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","55, Auguste-Viktoria-Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
102,230,13.396565312147544,52.52685625,"23, Auguststraße, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland","23, Auguststraße, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland"
107,292,13.3354475,52.4863823,"46, Babelsberger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland","46, Babelsberger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland"
108,293,13.3354398,52.4867279,"48, Babelsberger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland","48, Babelsberger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland"
111,1170,13.3426391,52.4855554,"Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
112,1153,13.3292042,52.4863758,"24, Badensche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland","24, Badensche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland"
115,1168,13.337477,52.4859132,"8b, Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","8b, Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
116,1169,13.3372354,52.4859294,"9, Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","9, Badensche Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
119,1233,13.37463,52.4230729,"Bahnstraße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12277, Deutschland","Bahnstraße, Marienfelde, Tempelhof-Schöneberg, Berlin, 12277, Deutschland"
120,320,13.4638148,52.518662,"37, Bänschstraße, Samariterviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland","37, Bänschstraße, Samariterviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland"
121,1474,13.3417229,52.4330547,"14, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland","14, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland"
122,1475,13.3413817,52.4328617,"18, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland","18, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland"
123,1473,13.3428504,52.4337035,"2, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland","2, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland"
124,1476,13.3413802,52.4324425,"26, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland","26, Barbarastraße, Lankwitz, Berlin, 12249, Deutschland"
126,460,13.34967328169246,52.4926387,"5, Barbarossaplatz, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Deutschland","5, Barbarossaplatz, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Deutschland"
129,918,13.3133446,52.482721,"24, Barstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","24, Barstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
133,1907,13.499924,52.5643159,"27, Barther Straße, Neu-Hohenschönhausen, Lichtenberg, 13051, Deutschland","27, Barther Straße, Neu-Hohenschönhausen, Lichtenberg, 13051, Deutschland"
134,1257,13.3705669,52.4902737,"10, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland","10, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland"
135,1258,13.3705457,52.4900854,"11, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland","11, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland"
136,1259,13.370482,52.4890462,"14, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland","14, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland"
137,1260,13.3704654,52.4888072,"16, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland","16, Bautzener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland"
140,642,13.3389002,52.4891666,"4, Bayerischer Platz, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland","4, Bayerischer Platz, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland"
143,1202,13.3389334,52.4667034,"15, Beckerstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland","15, Beckerstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland"
144,1537,13.33174190166283,52.43828625,"35, Beethovenstraße, Lankwitz, Steglitz-Zehlendorf, 12247, Deutschland","35, Beethovenstraße, Lankwitz, Steglitz-Zehlendorf, 12247, Deutschland"
145,1538,13.33174190166283,52.43828625,"35, Beethovenstraße, Lankwitz, Steglitz-Zehlendorf, 12247, Deutschland","35, Beethovenstraße, Lankwitz, Steglitz-Zehlendorf, 12247, Deutschland"
146,848,13.4010478,52.5513192,"65, Behmstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland","65, Behmstraße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 10439, Deutschland"
150,1558,13.3838644,52.5550539,"Bellermannstraße, Gesundbrunnen, Mitte, 13357, Deutschland","Bellermannstraße, Gesundbrunnen, Mitte, 13357, Deutschland"
153,163,13.3521345,52.486439,"37, Belziger Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","37, Belziger Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
154,1428,13.3485985341047,52.4863642,"52-58, Belziger Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland","52-58, Belziger Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland"
159,1215,13.3479451,52.4469965,"36, Benzmannstraße, Südende, Steglitz, Berlin, 12167, Deutschland","36, Benzmannstraße, Südende, Steglitz, Berlin, 12167, Deutschland"
161,479,13.3435641,52.4884136,"14, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","14, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
163,481,13.3436743,52.4874542,"17, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","17, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
164,482,13.3436838,52.4873335,"18, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","18, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
166,484,13.3440381,52.4872777,"22, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","22, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
168,452,13.3434286,52.490968,"5, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland","5, Berchtesgadener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland"
171,829,13.3264931,52.4578392,"1, Bergstraße, Steglitz, Berlin, 12169, Deutschland","1, Bergstraße, Steglitz, Berlin, 12169, Deutschland"
172,744,13.3327128,52.4583857,"Bergstraße, Steglitz, Berlin, 12169, Deutschland","Bergstraße, Steglitz, Berlin, 12169, Deutschland"
173,1417,13.3292386,52.4579624,"8, Bergstraße, Steglitz, Berlin, 12169, Deutschland","8, Bergstraße, Steglitz, Berlin, 12169, Deutschland"
175,1418,13.328638956589272,52.45826035,"90, Bergstraße, Steglitz, Berlin, 12169, Deutschland","90, Bergstraße, Steglitz, Berlin, 12169, Deutschland"
176,1419,13.327720986652537,52.45858805,"92, Bergstraße, Steglitz, Berlin, 12169, Deutschland","92, Bergstraße, Steglitz, Berlin, 12169, Deutschland"
177,1735,13.2828614,52.4810135,"27, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14193, Deutschland","27, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14193, Deutschland"
178,357,13.2896172,52.476262,"3, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","3, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
179,1511,13.2889499,52.4767361,"6, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","6, Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
180,1513,13.2904462,52.475432,"Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","Berkaer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
182,1155,13.3291861,52.4868025,"150, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland","150, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland"
186,1149,13.319614402047153,52.4862177,"127, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","127, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
187,1150,13.3204478,52.4865368,"Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
189,862,13.412063557018383,52.56548315,"18, Berliner Straße, Pankow, Berlin, 13189, Deutschland","18, Berliner Straße, Pankow, Berlin, 13189, Deutschland"
190,1607,13.321233472499998,52.48678615,"38, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland","38, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10715, Deutschland"
193,1151,13.317615,52.4866174,"48, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","48, Berliner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
195,864,13.4150294,52.5548247,"77, Berliner Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 13189, Deutschland","77, Berliner Straße, Arnimkiez, Prenzlauer Berg, Pankow, Berlin, 13189, Deutschland"
200,1274,13.3008112,52.4711894,"2, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","2, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
201,37,13.3007725,52.4710701,"4, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","4, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
202,1272,13.3011052,52.4708447,"5, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","5, Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
203,38,13.300746,52.470416,"Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","Beverstedter Weg, Wilmersdorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
204,1107,13.3323054,52.4507957,"Beymestraße, Steglitz, Berlin, 12167, Deutschland","Beymestraße, Steglitz, Berlin, 12167, Deutschland"
209,354,13.3092573,52.4747564,"15, Binger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","15, Binger Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland"
219,1308,13.3319522,52.4426107,"Birkbuschstraße, Lankwitz, Berlin, 12167, Deutschland","Birkbuschstraße, Lankwitz, Berlin, 12167, Deutschland"
220,757,13.3654562,52.4376629,"104, Bischofsgrüner Weg, Lankwitz, Berlin, 12247, Deutschland","104, Bischofsgrüner Weg, Lankwitz, Berlin, 12247, Deutschland"
221,1216,13.3382861,52.4530303,"32, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland","32, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland"
222,1229,13.3385944,52.4516067,"46, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland","46, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland"
226,1218,13.3393672,52.4631054,"72/73, Bismarckstraße, Steglitz, Berlin, 12157, Deutschland","72/73, Bismarckstraße, Steglitz, Berlin, 12157, Deutschland"
227,1662,13.3389206,52.4532149,"49, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland","49, Bismarckstraße, Steglitz, Berlin, 12169, Deutschland"
228,1808,13.158242946166132,52.4145839,"70, Bismarckstraße, Wannsee, Steglitz-Zehlendorf, 14109, Deutschland","70, Bismarckstraße, Wannsee, Steglitz-Zehlendorf, 14109, Deutschland"
229,1783,13.3114417,52.5116884,"97, Bismarckstraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10625, Deutschland","97, Bismarckstraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10625, Deutschland"
232,1570,13.3193461,52.5021397,"20, Bleibtreustraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10623, Deutschland","20, Bleibtreustraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10623, Deutschland"
235,1152,13.319834460946687,52.48472885,"18, Blissestraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","18, Blissestraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
236,1725,13.3201664,52.4825296,"30, Blissestraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","30, Blissestraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
241,1797,13.3989897,52.4942314,"23, Blücherstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland","23, Blücherstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland"
242,1867,13.3658815,52.4978215,"13, Blumenthalstraße, Botschaftsviertel, Tiergarten, Tempelhof-Schöneberg, Mitte, 10783, Deutschland","13, Blumenthalstraße, Botschaftsviertel, Tiergarten, Tempelhof-Schöneberg, Mitte, 10783, Deutschland"
245,1573,13.313541163949996,52.60408015,"Königin-Luise-Kirche, Bondickstraße, Waidmannslust, Reinickendorf, 13469, Deutschland","Königin-Luise-Kirche, Bondickstraße, Waidmannslust, Reinickendorf, 13469, Deutschland"
247,903,13.313653,52.4679244,"Bonner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","Bonner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland"
248,1016,13.313653,52.4679244,"Bonner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland","Bonner Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 14197, Deutschland"
249,1748,13.3257474,52.4342106,"Boothstraße, Giesensdorf, Lichterfelde, Steglitz-Zehlendorf, 12207, Deutschland","Boothstraße, Giesensdorf, Lichterfelde, Steglitz-Zehlendorf, 12207, Deutschland"
254,1362,13.2992858,52.4706923,"24, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","24, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
256,1361,13.2983211,52.4707592,"Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
257,1365,13.2989572,52.4707413,"26, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","26, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
258,1363,13.2983211,52.4707592,"Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
260,1367,13.2970133,52.4707332,"39, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","39, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
261,1366,13.2960927,52.4707634,"45, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","45, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
263,156,13.2951484,52.4707748,"53, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","53, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
265,1364,13.3016316,52.4704066,"6, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","6, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
266,1271,13.3016316,52.4704066,"6, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","6, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
267,1270,13.3011956,52.4701657,"9, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","9, Borkumer Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
268,1106,13.3472104,52.4491988,"12, Borstellstraße, Südende, Steglitz, Berlin, 12167, Deutschland","12, Borstellstraße, Südende, Steglitz, Berlin, 12167, Deutschland"
281,1604,13.3789173,52.54986135,"4, Böttgerstraße, Gesundbrunnen, Mitte, 13357, Deutschland","4, Böttgerstraße, Gesundbrunnen, Mitte, 13357, Deutschland"
283,1181,13.2824052,52.5774702,"2, Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland","2, Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland"
284,1180,13.282986152872168,52.57704755,"4, Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland","4, Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland"
285,1182,13.282794,52.5766547,"Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland","Bottroper Weg, Cité Guynemer, Tegel, Reinickendorf, 13507, Deutschland"
289,625,13.3383559,52.487814,"21, Bozener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland","21, Bozener Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland"
292,1611,13.3157382,52.480526,"18-20, Brabanter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","18-20, Brabanter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
296,1311,13.31477,52.4536978,"8A, Braillestraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland","8A, Braillestraße, Steglitz, Steglitz-Zehlendorf, 12165, Deutschland"
298,1226,13.3493638,52.4452996,"14, Brandenburgische Straße, Südende, Steglitz, Berlin, 12167, Deutschland","14, Brandenburgische Straße, Südende, Steglitz, Berlin, 12167, Deutschland"
303,407,13.3079072,52.4964398,"44, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland","44, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland"
306,985,13.31725234856557,52.487939,"75, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland","75, Brandenburgische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10713, Deutschland"
308,1136,13.303708,52.5191847,"6, Brauhofstraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10587, Deutschland","6, Brauhofstraße, Charlottenburg, Charlottenburg-Wilmersdorf, 10587, Deutschland"
309,854,13.3976912,52.5620077,"48, Brehmestraße, Pankow, Berlin, 13187, Deutschland","48, Brehmestraße, Pankow, Berlin, 13187, Deutschland"
313,804,13.2920944,52.475133,"21, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","21, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
314,446,13.2911539,52.4754198,"24, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","24, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
315,1851,13.2915615,52.4747845,"28, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland","28, Breite Straße, Schmargendorf, Charlottenburg-Wilmersdorf, 14199, Deutschland"
